,Quantidade em Estoque,Data da Venda
Filial 1,62,2023-04-13 18:58:06.794203
Filial 9,48,2023-06-03 18:58:06.794203
Filial 5,36,2023-06-08 18:58:06.794203
Filial 8,1,2023-02-27 18:58:06.794203
Filial 2,52,2022-09-05 18:58:06.794203
Filial 3,85,2022-09-11 18:58:06.794203
Filial 6,31,2023-02-08 18:58:06.794203
Filial 5,76,2022-12-08 18:58:06.794203
Filial 2,7,2023-07-18 18:58:06.794203
Filial 10,4,2023-06-19 18:58:06.794203
Filial 10,82,2023-07-19 18:58:06.794203
Filial 3,8,2023-05-24 18:58:06.794203
Filial 1,6,2023-01-24 18:58:06.794203
Filial 6,70,2023-06-07 18:58:06.794203
Filial 9,86,2023-01-10 18:58:06.794203
Filial 5,14,2023-02-09 18:58:06.794203
Filial 2,13,2022-10-24 18:58:06.794203
Filial 8,45,2023-03-06 18:58:06.794203
Filial 7,44,2022-11-12 18:58:06.794203
Filial 9,91,2023-02-03 18:58:06.794203
Filial 4,39,2023-07-31 18:58:06.794203
Filial 3,23,2023-06-07 18:58:06.794203
Filial 3,70,2022-10-31 18:58:06.794203
Filial 1,89,2023-03-04 18:58:06.794203
Filial 8,77,2023-01-27 18:58:06.794203
Filial 3,13,2023-04-25 18:58:06.794203
Filial 10,73,2022-09-20 18:58:06.794203
Filial 5,25,2023-03-09 18:58:06.794203
Filial 3,22,2023-02-06 18:58:06.794203
Filial 8,57,2023-05-15 18:58:06.794203
Filial 10,61,2023-07-06 18:58:06.794203
Filial 6,56,2023-07-24 18:58:06.794203
Filial 2,33,2023-05-02 18:58:06.794203
Filial 3,49,2023-07-07 18:58:06.794203
Filial 2,87,2023-04-15 18:58:06.794203
Filial 4,67,2022-11-07 18:58:06.794203
Filial 2,76,2023-06-16 18:58:06.794203
Filial 4,1,2022-12-15 18:58:06.794203
Filial 3,62,2023-02-01 18:58:06.794203
Filial 9,43,2023-08-22 18:58:06.794203
Filial 10,72,2023-05-20 18:58:06.794203
Filial 8,9,2023-02-03 18:58:06.794203
Filial 5,12,2023-05-02 18:58:06.794203
Filial 1,57,2023-03-10 18:58:06.794203
Filial 5,5,2023-04-17 18:58:06.794203
Filial 5,48,2023-05-16 18:58:06.794203
Filial 10,89,2022-12-16 18:58:06.794203
Filial 9,28,2022-10-14 18:58:06.794203
Filial 3,5,2022-11-05 18:58:06.794203
Filial 6,2,2023-04-30 18:58:06.794203
Filial 7,69,2023-04-28 18:58:06.794203
Filial 3,19,2023-02-15 18:58:06.794203
Filial 3,83,2023-07-02 18:58:06.794203
Filial 5,32,2023-05-27 18:58:06.794203
Filial 8,52,2023-04-12 18:58:06.794203
Filial 4,10,2023-03-23 18:58:06.794203
Filial 2,10,2022-10-27 18:58:06.794203
Filial 9,55,2023-02-13 18:58:06.794203
Filial 9,29,2023-01-01 18:58:06.794203
Filial 3,90,2023-08-29 18:58:06.794203
Filial 8,46,2023-03-31 18:58:06.794203
Filial 5,27,2023-03-07 18:58:06.794203
Filial 2,97,2022-09-11 18:58:06.794203
Filial 10,7,2023-01-26 18:58:06.794203
Filial 2,49,2023-02-01 18:58:06.794203
Filial 4,10,2023-01-01 18:58:06.794203
Filial 10,2,2023-08-03 18:58:06.794203
